1;2;3;4;5;6;7;8;9;10;10;11;12;13;14;15;16;17;18;19;20;21;22;22;23;24;25;26;27;28;29;30;31;31;32;32
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;3.0
F^7;Abo7;Gm7;C7;F^7;Abo7;Gm7;C7;F^7;Cm7;F7;Bb^7;Bb^7;G7;G7;Gm7;C7;F^7;Abo7;Gm7;C7;F^7;Cm7;F7;Bb^7;Bb^7;Bb^7;Bo7;F^7;D7;Gm7;C7;F6;D7;Gm7;C7
